source,target,weight
C001132,G000578,2
C001129,G000578,4
G000578,S001224,2
G000578,M000194,3
C001118,G000576,6
C001118,C001120,6
C001118,H001091,3
C001118,F000469,4
C001118,E000071,3
C001118,S001196,3
C001118,F000471,4
C001118,M001211,6
C001118,H001067,5
C001118,G000577,3
C001118,S001212,6
B001291,C001118,4
C001118,G000589,4
C001118,V000133,3
C001118,G000596,2
C001103,C001118,5
C001118,J000304,5
C001118,L000589,5
C001118,O000175,5
C001118,M001199,6
B000825,C001118,7
C001118,V000134,4
C001118,N000190,7
C001118,R000103,5
C001118,G000595,5
C001118,L000596,4
C001118,T000165,4
B001306,C001118,4
C001118,R000612,5
C001118,J000302,4
C001118,H001082,6
C001118,Z000018,3
C001118,G000590,4
C001118,H001096,3
C001118,L000603,5
C001115,C001118,6
C001118,I000056,4
C001118,H001095,2
C001054,C001118,5
C001118,P000599,6
C001118,S001214,4
A000375,C001118,5
C001118,S000250,8
B001317,C001118,4
B001248,C001118,2
C001118,G000558,5
C001039,C001118,8
C001118,W000814,7
C001118,J000299,3
C001118,L000564,5
C001118,D000032,3
C001118,W000816,4
C001118,M001218,1
C001118,C001126,3
C001118,L000585,5
C001118,F000474,2
C001118,D000594,4
C001118,K000388,3
C001118,C001132,4
C001118,C001129,4
C001118,S001224,4
C001118,M000194,3
C001120,G000576,4
G000576,H001091,3
F000469,G000576,4
E000071,G000576,3
G000576,S001196,3
F000471,G000576,4
G000576,M001211,4
G000576,H001067,5
G000576,G000577,3
G000576,S001212,5
B001291,G000576,4
G000576,G000589,4
G000576,V000133,3
G000576,G000596,3
C001103,G000576,4
G000576,J000304,4
G000576,L000589,5
G000576,O000175,4
G000576,M001199,5
B000825,G000576,5
G000576,V000134,3
G000576,N000190,4
G000576,R000103,3
G000576,G000595,3
G000576,L000596,5
G000576,T000165,4
B001306,G000576,3
G000576,R000612,5
G000576,J000302,4
G000576,H001082,4
G000576,Z000018,3
G000576,G000590,4
G000576,H001096,3
G000576,L000603,4
C001115,G000576,5
G000576,I000056,4
G000576,H001095,2
C001054,G000576,5
G000576,P000599,4
G000576,S001214,3
A000375,G000576,4
G000576,S000250,7
B001317,G000576,3
B001248,G000576,2
G000558,G000576,5
C001039,G000576,5
G000576,W000814,5
G000576,J000299,3
G000576,L000564,4
D000032,G000576,3
G000576,W000816,4
G000576,M001218,1
C001126,G000576,2
G000576,L000585,4
F000474,G000576,2
D000594,G000576,4
G000576,K000388,3
C001132,G000576,4
C001129,G000576,3
G000576,S001224,4
G000576,M000194,3
C001120,H001091,3
C001120,F000469,4
C001120,M001211,6
C001120,H001067,4
C001120,G000577,4
B001291,C001120,5
C001120,G000589,4
C001120,V000133,3
C001103,C001120,4
C001120,J000304,6
C001120,O000175,5
C001120,M001199,5
B000825,C001120,6
C001120,N000190,5
C001120,R000103,5
C001120,G000595,5
C001120,L000596,4
B001306,C001120,4
C001120,R000612,4
C001120,H001082,4
C001120,Z000018,4
C001120,G000590,3
C001120,H001096,3
C001120,L000603,4
C001115,C001120,4
C001120,H001095,3
C001054,C001120,4
C001120,S001214,3
A000375,C001120,4
